2019-01-01 12:00:00;Sensor0;O3;50.25;
2019-01-01 12:00:00;Sensor0;NO2;74.5;
2019-01-01 12:00:00;Sensor0;SO2;41.5;
2019-01-01 12:00:00;Sensor0;PM10;44.75;
2019-01-02 12:00:00;Sensor0;O3;50.5;
2019-01-02 12:00:00;Sensor0;NO2;72;
2019-01-02 12:00:00;Sensor0;SO2;39.25;
2019-01-02 12:00:00;Sensor0;PM10;50.5;
2019-01-03 12:00:00;Sensor0;O3;43.75;
2019-01-03 12:00:00;Sensor0;NO2;75.25;
2019-01-03 12:00:00;Sensor0;SO2;38.75;
2019-01-03 12:00:00;Sensor0;PM10;47.75;
2019-01-04 12:00:00;Sensor0;O3;48.25;
2019-01-04 12:00:00;Sensor0;NO2;77;
2019-01-04 12:00:00;Sensor0;SO2;43;
2019-01-04 12:00:00;Sensor0;PM10;47.25;
2019-01-05 12:00:00;Sensor0;O3;48.5;
2019-01-05 12:00:00;Sensor0;NO2;75.75;
2019-01-05 12:00:00;Sensor0;SO2;38;
2019-01-05 12:00:00;Sensor0;PM10;46.5;
2019-01-06 12:00:00;Sensor0;O3;49.25;
2019-01-06 12:00:00;Sensor0;NO2;72;
2019-01-06 12:00:00;Sensor0;SO2;43.5;
2019-01-06 12:00:00;Sensor0;PM10;46;
2019-01-07 12:00:00;Sensor0;O3;46.5;
2019-01-07 12:00:00;Sensor0;NO2;76.5;
2019-01-07 12:00:00;Sensor0;SO2;40.5;
2019-01-07 12:00:00;Sensor0;PM10;47.25;
2019-01-08 12:00:00;Sensor0;O3;46.75;
2019-01-08 12:00:00;Sensor0;NO2;75;
2019-01-08 12:00:00;Sensor0;SO2;38;
2019-01-08 12:00:00;Sensor0;PM10;47;
2019-01-09 12:00:00;Sensor0;O3;46.75;
2019-01-09 12:00:00;Sensor0;NO2;74.75;
2019-01-09 12:00:00;Sensor0;SO2;40.75;
2019-01-09 12:00:00;Sensor0;PM10;47;
2019-01-10 12:00:00;Sensor0;O3;48.5;
2019-01-10 12:00:00;Sensor0;NO2;73;
2019-01-10 12:00:00;Sensor0;SO2;41;
2019-01-10 12:00:00;Sensor0;PM10;46;
2019-01-11 12:00:00;Sensor0;O3;47.5;
2019-01-11 12:00:00;Sensor0;NO2;74.25;
2019-01-11 12:00:00;Sensor0;SO2;39.75;
2019-01-11 12:00:00;Sensor0;PM10;46.25;
2019-01-12 12:00:00;Sensor0;O3;49.75;
2019-01-12 12:00:00;Sensor0;NO2;74.25;
2019-01-12 12:00:00;Sensor0;SO2;43.25;
2019-01-12 12:00:00;Sensor0;PM10;45;
2019-01-13 12:00:00;Sensor0;O3;46.75;
2019-01-13 12:00:00;Sensor0;NO2;74.5;
2019-01-13 12:00:00;Sensor0;SO2;40.75;
2019-01-13 12:00:00;Sensor0;PM10;45;
2019-01-14 12:00:00;Sensor0;O3;49.25;
2019-01-14 12:00:00;Sensor0;NO2;72.75;
2019-01-14 12:00:00;Sensor0;SO2;40.75;
2019-01-14 12:00:00;Sensor0;PM10;47.5;
2019-01-15 12:00:00;Sensor0;O3;47.25;
2019-01-15 12:00:00;Sensor0;NO2;73.5;
2019-01-15 12:00:00;Sensor0;SO2;43.5;
2019-01-15 12:00:00;Sensor0;PM10;47.75;
2019-01-16 12:00:00;Sensor0;O3;50.75;
2019-01-16 12:00:00;Sensor0;NO2;73;
2019-01-16 12:00:00;Sensor0;SO2;42;
2019-01-16 12:00:00;Sensor0;PM10;45.75;
2019-01-17 12:00:00;Sensor0;O3;48.25;
2019-01-17 12:00:00;Sensor0;NO2;77;
2019-01-17 12:00:00;Sensor0;SO2;43;
2019-01-17 12:00:00;Sensor0;PM10;48;
2019-01-18 12:00:00;Sensor0;O3;46.25;
